Experience,Nodes,PathLoss,Packet_Sent,Packet_Loss,Collisions,Energy,DER,Mathematical-Model,Error,SF7,SF8,SF9,SF10,SF11,SF12,DSF7,DSF8,DSF9,DSF10,DSF11,DSF12
1,500,6,12150,0,417,0.117717101568,96.5679012345679,88.38238159601143,8.185519638556471,0.07298304,0.02641408,0.02224128,0.0,0.0,0.0,387,77,36,0,0,0
1,500,6,11953,0,399,0.067137679872,96.66192587634904,88.38238159601143,8.279544280337603,0.07298304,0.02641408,0.02224128,0.0,0.0,0.0,387,77,36,0,0,0
1,1000,6,24308,0,1655,0.2408372060159999,93.19154187921671,78.95726191356654,14.234279965650174,0.1410628266666666,0.05728768,0.0525141333333333,0.0,0.0,0.0,748,167,85,0,0,0
1,1000,6,24089,0,1594,0.1656058652159999,93.37872057785712,78.95726191356654,14.421458664290569,0.1410628266666666,0.05728768,0.0525141333333333,0.0,0.0,0.0,748,167,85,0,0,0
1,1500,6,36043,0,3413,0.359149080575999,90.53075493160948,70.4787407691711,20.05201416243837,0.2100855466666666,0.0891904,0.07784448,0.0,0.0,0.0,1114,260,126,0,0,0
1,1500,6,35976,0,3325,0.2296223086079994,90.75772737380476,70.4787407691711,20.27898660463368,0.2100855466666666,0.0891904,0.07784448,0.0,0.0,0.0,1114,260,126,0,0,0
1,2000,6,48503,0,6099,0.4791273400319987,87.42552007092344,62.660834606637735,24.764685464285705,0.2826914133333333,0.1132032,0.1056460799999999,0.0,0.0,0.0,1499,330,171,0,0,0
1,2000,6,48092,0,6249,0.3549289313279995,87.00615486983281,62.660834606637735,24.34532026319508,0.2826914133333333,0.1132032,0.1056460799999999,0.0,0.0,0.0,1499,330,171,0,0,0
1,2500,6,60115,0,9063,0.5957498511359988,84.92223238792315,56.03587379329535,28.8863585946278,0.35246848,0.14476288,0.1291229866666666,0.0,0.0,0.0,1869,422,209,0,0,0
1,2500,6,60011,0,9961,0.4286320765439994,83.39971005315692,56.03587379329535,27.36383625986157,0.35246848,0.14476288,0.1291229866666666,0.0,0.0,0.0,1869,422,209,0,0,0
1,6000,6,143983,0,47001,1.4264223283199784,67.35656292756784,26.68480846967845,40.671754457889385,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,144115,0,47762,1.8391891944960024,66.8556361239288,26.68480846967845,40.17082765425035,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,143983,0,47001,1.4264223283199784,67.35656292756784,26.68480846967845,40.671754457889385,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,144128,0,47184,1.5031132807679866,67.26243339253996,26.68480846967845,40.57762492286151,0.8459997866666668,0.34955776,0.3058175999999999,0.0,0.0,0.0,4486,1019,495,0,0,0
1,6000,6,143847,0,63157,6.7685972090879085,56.09154170750868,27.80960006818456,28.28194163932412,0.3771733333333333,0.15059456,0.9582284799999998,1.0107426133333333,0.7833873066666667,3.846826666666667,2000,439,1551,818,317,875
1,6000,6,144007,0,63157,5.075683547135959,56.136160047775455,27.80960006818456,28.326559979590897,0.3771733333333333,0.15059456,0.9582284799999998,1.0107426133333333,0.7833873066666667,3.846826666666667,2000,439,1551,818,317,875
1,6000,6,143753,27783,44910,10.225568179200074,49.42714239007186,27.138542655095176,22.28859973497668,0.3102250666666667,0.11903488,0.7673241599999999,0.7969791999999999,0.6524108799999999,8.164065279999999,1645,347,1242,645,264,1857
1,6000,6,143891,27636,46126,8.804555830271907,48.73133135498398,27.138542655095176,21.592788699888803,0.3102250666666667,0.11903488,0.7673241599999999,0.7969791999999999,0.6524108799999999,8.164065279999999,1645,347,1242,645,264,1857
1,6000,6,143753,27783,44910,10.225568179200074,49.42714239007186,27.138542655095176,22.28859973497668,0.3102250666666667,0.11903488,0.7673241599999999,0.7969791999999999,0.6524108799999999,8.164065279999999,1645,347,1242,645,264,1857
1,6000,6,143891,27672,45030,9.273030326783944,49.47216990638748,28.156451903079688,21.31571800330779,0.2655300266666667,0.20033536,0.7673241599999999,0.7969791999999999,0.6524108799999999,8.164065279999999,1408,584,1242,645,264,1857
